id,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
1845,Inas Daoudi,15,Prefer not to say,El Bayadh,8th,7.7,6.5,64,7,0.1,3,10,7,0,0.2,76,5,2.4,0.3,1.3,Social Media,5,4.5,9.7
1846,Faysal Mokhtar,16,Female,Biskra,8th,3.4,9.7,71,0,2.0,4,5,3,1,1.3,30,11,0.9,1.1,2.0,Education,8,4.4,3.4
1847,Salem Zouaoui,18,Male,Saïda,9th,8.5,4.9,63,4,1.4,3,7,5,0,1.0,90,18,2.0,0.0,0.9,Other,2,6.8,10.0
1848,Farid Aissaoui,16,Prefer not to say,Ouyoun El Assafs,9th,5.6,4.1,92,6,0.5,9,2,10,0,1.1,38,9,2.8,2.2,1.0,Browsing,5,7.3,10.0
1849,Lyes Zerrouki,17,Female,Bazer Sakhra,8th,8.2,7.6,62,10,1.5,2,6,2,0,0.8,61,10,2.2,0.0,1.2,Social Media,3,7.7,9.8
1850,Imad Khammar,16,Prefer not to say,Aghbalou,9th,2.7,5.3,74,10,2.1,10,3,4,0,1.0,29,18,3.1,2.8,2.1,Education,7,9.4,10.0
1851,Lakhdar Bousmaha,19,Female,Tissemsilt,12th,3.0,10.0,96,2,0.5,9,1,10,0,1.3,134,10,1.9,1.5,1.2,Gaming,1,4.7,6.1
1852,Salah Boutaleb,16,Prefer not to say,Oum El Bouaghi,9th,2.6,5.7,95,5,0.1,8,7,3,1,1.8,75,9,3.3,0.2,0.9,Browsing,7,5.1,6.5
1853,Hana Ferhat,13,Male,Oum El Bouaghi,11th,5.4,6.1,82,5,0.8,8,6,8,1,1.6,79,5,2.1,1.6,0.0,Gaming,3,7.9,8.6
1854,Slimane Mahdi,15,Female,Birine,7th,3.9,7.0,90,2,1.0,6,5,7,1,0.5,143,16,2.4,0.3,0.0,Social Media,6,5.2,9.2
1855,amina Kaidi,13,Prefer not to say,Oum El Bouaghi,10th,4.6,6.8,74,3,1.2,10,8,1,1,1.3,58,18,2.5,1.5,1.3,Browsing,1,9.8,10.0
1856,Fateh Sahraoui,13,Male,Mahelma,12th,0.3,4.8,59,2,0.6,4,3,7,1,0.7,103,9,1.1,1.2,1.8,Other,3,9.3,4.1
1857,Wissam Guerfi,14,Prefer not to say,Chabet el Ameur,7th,5.7,5.8,97,1,1.5,5,5,5,0,1.9,59,19,2.3,2.3,1.0,Other,1,9.4,10.0
1858,Najia Djaout,15,Female,Bouzina,12th,1.7,7.5,69,6,0.0,2,8,7,1,1.2,79,19,2.3,0.9,0.6,Social Media,1,3.7,6.5
1859,Djamila Bouteldja,19,Male,Djendel,12th,2.0,7.9,99,5,1.7,10,8,2,1,1.4,103,8,3.2,0.0,2.1,Browsing,8,7.4,4.9
1860,Mounir Amara,19,Male,Aïn Oulmene,11th,6.0,9.2,97,3,1.5,9,9,8,0,1.6,149,17,1.9,1.2,0.0,Browsing,3,5.2,10.0
1861,Khaled Zitouni,16,Prefer not to say,El Hadjira,12th,6.8,8.5,69,3,0.6,1,3,3,0,1.7,50,7,3.7,3.0,0.3,Other,1,5.3,10.0
1862,Narimane Kerroum,19,Prefer not to say,Hamma,7th,7.0,4.8,57,7,1.3,3,8,2,0,0.9,82,19,2.5,0.4,0.0,Browsing,7,6.6,10.0
1863,Yasine Yahiaoui,16,Female,Tolga,9th,3.6,4.7,100,0,0.9,8,4,8,1,0.6,53,8,3.9,1.5,1.4,Browsing,7,7.5,9.3
1864,Lounes Rahmani,18,Male,Mascara,10th,3.1,5.0,92,0,0.5,2,1,7,0,1.2,93,9,2.4,2.7,0.7,Other,3,7.2,9.4
1865,Mourad Segni,14,Male,Idrissia,7th,3.8,3.9,100,8,1.2,5,2,5,0,0.5,135,5,0.0,2.5,2.3,Education,3,3.9,8.0
1866,Lyes Haddouche,16,Female,Djendel,11th,4.5,3.1,74,7,0.8,2,8,4,1,1.2,45,12,2.2,3.0,0.7,Social Media,7,5.4,10.0
1867,Kenza Khelifi,16,Prefer not to say,Kouba,10th,5.7,6.2,97,4,1.4,7,2,4,0,0.8,134,14,2.3,1.5,0.0,Social Media,5,5.2,10.0
1868,Wahid Ben Amor,13,Male,In Salah,10th,4.8,6.2,76,4,1.3,6,4,3,1,0.8,43,8,3.0,0.0,0.0,Other,5,5.1,7.2
1869,Yasmina Louanchi,16,Female,Lounassa,9th,2.9,6.7,64,8,0.0,5,7,9,0,1.5,115,14,3.4,1.2,0.4,Other,3,5.1,9.2
1870,Warda Benmokhtar,17,Female,Belouizdad,12th,3.8,9.7,75,8,0.8,6,10,4,1,1.4,115,10,1.0,2.6,2.2,Browsing,5,6.3,6.8
1871,Cherif Cheikh,19,Prefer not to say,Saharij,8th,6.7,5.9,72,1,1.1,1,3,10,0,1.6,75,16,2.3,2.7,0.3,Education,5,9.3,10.0
1872,Nadir Fekir,16,Male,Belouizdad,11th,5.9,7.9,77,9,1.1,1,10,8,0,1.5,132,10,1.7,0.6,0.4,Social Media,3,3.6,8.9
1873,Kais Slimani,18,Female,Aïn Roua,12th,3.7,6.5,99,1,0.3,5,3,9,1,0.5,93,6,1.0,3.3,1.3,Other,3,2.8,7.8
1874,Najia Messaoud,17,Male,Tessaout,9th,4.3,3.9,56,8,1.0,2,6,3,1,1.1,22,11,1.6,1.6,0.4,Browsing,7,3.1,8.2
1875,Walid Bahri,13,Prefer not to say,Mostaganem,7th,4.6,4.5,85,5,0.4,2,3,7,0,1.3,26,16,4.2,0.4,0.4,Education,1,3.8,10.0
1876,Chahinez Sifi,17,Female,Ouled Fayet,9th,3.4,6.4,100,0,2.1,2,3,3,1,1.2,67,7,2.7,1.2,2.2,Other,4,6.0,6.8
1877,Hafid Othmani,17,Female,Beni Douala,8th,5.5,9.2,73,10,1.3,2,10,10,0,2.2,87,6,1.4,1.8,1.2,Gaming,9,7.9,7.0
1878,Wissam Bouteldja,17,Female,Bougaa,11th,3.7,6.6,56,5,0.9,4,8,1,0,1.1,108,20,3.5,1.6,1.2,Browsing,10,3.3,10.0
1879,Basma Boussaada,19,Prefer not to say,Chabet el Ameur,11th,4.3,6.4,75,10,2.0,6,2,8,0,1.6,73,7,0.4,1.5,1.4,Browsing,9,4.8,5.9
1880,Warda Rabhi,13,Male,Oran,12th,6.3,6.6,58,6,1.2,1,1,10,1,0.5,47,14,2.3,1.4,1.3,Browsing,1,5.1,10.0
1881,Asma Fetouni,14,Male,Jijel,9th,3.9,3.7,85,8,0.7,8,2,6,1,1.1,39,19,2.1,1.9,0.8,Browsing,2,6.2,10.0
1882,Seifeddine Iles,19,Female,Guidjel,11th,4.3,5.4,56,10,1.6,9,2,10,1,0.9,144,8,3.3,2.0,0.2,Education,4,7.7,10.0
1883,Akram Benguettaf,15,Female,Touggourt,7th,1.9,7.4,64,4,1.4,3,8,5,1,0.8,35,19,4.0,2.8,0.9,Social Media,6,5.4,9.5
1884,Djamila Tayebi,18,Prefer not to say,Hassi Bahbah,11th,7.8,8.0,61,1,0.5,1,3,2,1,1.1,89,18,2.9,0.5,0.8,Education,1,8.8,10.0
1885,Hakim Moualek,17,Female,Menzel,11th,5.1,6.4,55,4,2.1,8,3,10,1,0.7,75,17,2.5,2.8,0.0,Gaming,9,8.2,10.0
1886,Rafik Khelifi,16,Female,Salah Annaba,9th,5.5,9.0,100,7,1.6,9,3,9,0,0.2,148,20,2.6,0.1,0.9,Education,1,4.8,10.0
1887,Hamza Tayebi,18,Female,Husseïn Dey,8th,5.3,5.4,86,8,0.1,1,8,9,0,0.7,60,5,2.6,1.9,1.1,Social Media,1,7.7,9.3
1888,Yasmine Touati,18,Female,Tiaret,11th,2.4,7.7,92,10,0.9,10,6,7,0,2.2,37,19,1.8,1.9,1.8,Browsing,7,4.9,6.8
1889,Naima Sellami,13,Male,Boghni,9th,3.5,5.5,58,6,1.5,5,5,9,0,1.5,70,8,1.7,1.2,0.4,Gaming,10,8.1,6.6
1890,Hanane Zitouni,18,Male,Biskra,7th,4.8,6.2,98,7,1.1,1,9,1,1,0.7,79,19,3.4,0.6,1.7,Other,9,1.6,10.0
1891,Amel Segni,13,Prefer not to say,Touggourt,11th,6.8,7.1,79,10,1.6,9,9,4,1,1.5,93,20,3.1,1.7,1.4,Education,5,7.6,10.0
1892,Nora Ben Said,19,Female,Bordj Bou Arréridj,8th,5.9,10.0,59,2,0.0,2,10,9,0,1.4,50,20,3.7,0.6,0.7,Browsing,7,3.6,10.0
1893,Abdallah Mansouri,14,Male,Tiaret,9th,2.6,7.3,54,8,0.1,3,4,6,1,0.3,103,15,2.2,1.8,1.3,Gaming,3,4.8,8.0
1894,Nesrine Zerrouki,13,Prefer not to say,Touggourt,7th,3.0,6.5,89,5,1.5,6,4,7,1,1.0,92,7,1.8,2.4,0.1,Social Media,9,7.1,7.2
1895,Sid Ahmed Bessa,13,Female,Iboudrarene,8th,3.8,8.0,70,2,1.8,4,1,1,1,1.6,70,20,4.2,0.9,1.2,Browsing,5,8.0,10.0
1896,Walid Larbi,16,Female,Bouira,10th,7.0,7.4,93,7,2.0,7,4,8,1,1.3,94,19,3.1,1.6,1.3,Social Media,2,3.5,10.0
1897,Khadija El Fassi,16,Male,Ouled Sellam,7th,4.8,8.6,59,5,0.7,5,6,1,1,0.6,93,9,1.6,3.0,1.7,Browsing,8,6.2,8.8
1898,Adila El Fassi,13,Prefer not to say,Dély Ibrahim,7th,5.2,4.0,69,7,1.8,4,6,3,0,1.6,30,9,1.7,0.8,1.2,Education,2,7.5,8.1
1899,Imad Hamzaoui,18,Prefer not to say,In Guezzam,8th,8.1,7.8,84,8,1.0,2,5,7,0,0.9,53,10,2.0,0.0,0.5,Browsing,2,7.0,9.3
1900,Mounir Akroum,13,Male,Médéa,8th,3.0,9.1,79,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,Education,10,9.1,7.3
1901,Tayeb Djelloul,14,Prefer not to say,El Bayadh,9th,3.7,5.1,56,1,1.7,1,10,2,1,0.8,99,6,1.7,1.7,1.6,Other,4,7.6,7.7
1902,Wassila Ayachi,14,Female,In Guezzam,7th,5.4,5.1,92,1,0.0,1,4,1,1,0.9,146,8,3.1,1.7,1.4,Other,10,3.8,10.0
1903,Youssef Kadri,13,Female,Khenchela,7th,5.0,8.6,81,9,0.8,9,9,2,1,0.1,97,11,1.8,1.4,0.4,Other,10,4.7,8.0
1904,Naima Dris,14,Prefer not to say,Ouadhias,11th,7.4,6.2,69,8,0.7,9,6,3,0,1.6,75,14,3.1,0.3,0.8,Education,2,9.4,10.0
1905,amina Zitouni,16,Male,Boumedfaa,10th,6.9,8.1,76,10,1.0,1,5,2,0,0.4,67,20,0.9,1.8,0.5,Browsing,10,6.5,10.0
1906,Zakaria Benabdallah,19,Female,Djendel,7th,6.4,5.0,74,1,2.3,1,4,5,1,0.9,66,16,1.9,2.6,0.7,Browsing,4,7.6,10.0
1907,Salem Lounes,16,Female,Guelma,7th,6.3,5.7,55,10,1.5,2,7,3,1,0.3,61,7,3.1,0.0,1.9,Gaming,2,5.2,9.2
1908,Ahmed Haddad,15,Male,Djendel,12th,5.1,4.9,59,5,0.0,9,4,6,1,0.9,20,18,2.8,0.3,2.3,Social Media,3,4.5,9.8
1909,Hana Kamel,14,Prefer not to say,Mékhadma,9th,6.8,4.8,76,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,Other,5,7.9,10.0
1910,Lotfi Touati,19,Prefer not to say,Naama,11th,5.5,6.2,58,7,1.3,2,1,3,0,0.7,76,14,1.8,1.2,0.2,Other,5,1.2,9.7
1911,Feryel Ben Toumi,17,Female,Adrar,8th,5.9,7.7,81,6,1.6,1,10,3,0,0.5,136,6,1.3,1.6,0.7,Education,9,3.1,8.9
1912,Fatiha Djelali,13,Female,Zerdaza,9th,4.6,3.3,67,7,1.6,7,1,9,0,1.1,71,17,1.4,3.4,0.8,Browsing,5,5.9,10.0
1913,Hakim Ali,18,Male,Ouled Sellam,7th,7.4,5.4,76,4,1.8,10,2,5,0,1.2,42,19,2.3,0.9,0.7,Gaming,8,5.9,10.0
1914,Manel Ykhlef,19,Prefer not to say,Constantine,11th,6.4,6.6,72,9,0.4,8,1,8,1,1.4,105,19,2.1,1.4,1.6,Education,10,5.3,10.0
1915,Nesrine Dris,19,Female,Djebla Zerga,7th,6.8,5.8,72,8,0.0,2,8,2,0,0.6,32,18,1.1,2.2,1.2,Education,9,6.2,10.0
1916,Nihel Daoudi,19,Male,Ouled Fayet,7th,7.0,7.5,79,6,1.6,2,9,5,0,1.5,45,17,2.9,1.3,1.3,Education,10,1.5,10.0
1917,Tarek Kamel,18,Male,Tébessa,8th,8.1,7.7,71,5,0.1,9,3,5,1,1.4,143,6,2.8,0.7,0.0,Other,9,6.4,10.0
1918,Samira El Fassi,13,Prefer not to say,Laalam,10th,1.1,7.7,52,7,1.1,4,6,4,1,1.4,89,19,0.9,2.5,1.1,Gaming,3,6.3,6.2
1919,amina Toumi,13,Male,Freha,12th,3.8,6.8,50,5,0.1,10,6,5,1,0.6,74,8,2.8,4.0,0.0,Browsing,9,5.6,10.0
1920,Youssra Nemouchi,16,Female,Touggourt,12th,6.1,5.4,55,5,0.0,10,1,7,1,0.7,90,9,2.5,3.1,1.4,Other,10,7.0,10.0
1921,Issam Othmani,14,Male,Dar El Beïda,10th,3.0,6.1,74,4,1.2,2,9,7,1,0.0,63,17,0.7,3.2,1.9,Gaming,6,5.4,8.5
1922,Lyes Ouled Said,18,Male,Benifouda,8th,8.2,6.1,60,8,0.9,6,3,7,1,0.0,47,16,5.0,1.1,0.8,Education,3,4.9,10.0
1923,Oumaima Ibrahim,17,Male,Mohammadia,9th,6.3,8.0,85,3,1.0,1,3,2,0,1.3,103,11,3.0,1.8,0.6,Social Media,6,5.4,10.0
1924,Alaa Eddine Meftah,17,Female,Guelma,11th,7.3,6.6,97,2,0.2,5,7,4,1,1.2,74,13,3.0,1.5,0.8,Browsing,7,4.9,10.0
1925,Sabrina Nadjib,13,Male,Tipaza,10th,8.7,7.3,66,0,1.9,6,1,9,1,1.2,95,15,3.2,0.7,0.4,Other,2,8.8,10.0
1926,Sarah Djilali,14,Male,Aïn Tesra,12th,2.1,6.7,59,6,0.7,7,1,6,0,1.3,70,18,3.1,3.4,0.2,Social Media,6,4.2,10.0
1927,Wissam Ben Said,17,Prefer not to say,Aïn Oussara,9th,4.1,7.3,93,7,0.7,9,5,3,0,2.0,118,9,3.5,0.7,0.5,Browsing,10,5.1,8.8
1928,Karima Boutaleb,14,Female,Cheraïa,11th,5.1,3.8,57,10,0.5,7,3,2,1,0.8,133,18,2.8,0.5,1.3,Gaming,3,5.8,10.0
1929,Ghiles Benali,19,Male,Batna,9th,4.2,3.0,78,7,1.1,1,4,7,1,0.9,91,11,0.9,1.4,0.0,Gaming,3,9.1,9.0
1930,Basma Akroum,14,Male,Témacine,10th,4.3,7.9,74,2,0.3,7,2,10,1,1.2,69,18,2.6,1.7,1.9,Social Media,6,8.0,9.6
1931,Jaouad Nemouchi,18,Male,Tébessa,11th,6.7,3.9,90,6,0.0,10,1,3,1,1.4,31,14,2.1,1.6,0.3,Browsing,4,4.7,10.0
1932,Abderrahmane Maouche,18,Female,Tazmalt,12th,7.1,8.1,55,7,0.6,9,10,9,0,0.6,56,11,3.3,0.8,1.1,Browsing,5,5.2,10.0
1933,Soufiane Brahimi,14,Male,Dréan,10th,0.0,4.0,84,5,1.5,10,4,3,0,0.7,20,5,2.9,1.4,0.5,Other,5,4.2,3.7
1934,Rabah Ouahrani,14,Prefer not to say,Chabet el Ameur,10th,3.9,6.6,50,6,0.0,6,8,2,0,0.6,34,18,1.9,1.3,0.5,Education,3,6.4,8.1
1935,Riadh Ben Toumi,19,Male,Bousaada,8th,4.4,5.6,53,2,0.3,9,9,7,0,0.9,66,12,3.1,2.4,0.7,Education,7,7.7,10.0
1936,Selma Amrouche,19,Female,Tindouf,7th,6.1,5.4,65,10,0.0,4,4,8,1,1.1,111,15,2.2,0.7,1.5,Gaming,2,6.8,10.0
1937,Shaima Bouziane,15,Female,Beni Ourtilane,8th,1.2,8.2,77,2,1.3,1,2,4,0,0.8,150,17,2.9,2.3,0.9,Other,9,6.9,8.7
1938,Chafik Bendjebbar,16,Male,El Taref,12th,4.7,6.6,59,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,Social Media,2,0.3,9.6
1939,Yasine Kerroum,16,Prefer not to say,Djasr Kasentina,7th,5.7,7.7,63,0,0.9,1,7,5,0,0.8,103,7,1.9,2.4,0.0,Other,1,6.3,9.6
1940,Wafa Zaoui,16,Prefer not to say,Mascara,10th,8.1,6.7,50,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,Other,7,7.2,9.5
1941,Samira Djelali,16,Male,Djelfa,8th,4.1,9.3,54,10,0.6,5,7,2,0,1.6,73,12,4.1,0.0,0.6,Browsing,6,4.7,7.4
1942,Feryel Lakhdar,14,Male,Kouba,7th,6.3,6.5,81,8,1.1,4,4,8,1,0.9,140,6,2.8,1.8,0.6,Education,5,9.5,10.0
1943,Tayeb Fares,17,Prefer not to say,Mohammadia,12th,6.0,6.1,71,8,1.9,9,10,6,0,0.6,99,17,4.7,0.0,0.7,Education,9,3.5,10.0
1944,Salah Akroum,19,Male,Chlef,10th,7.2,7.4,99,9,3.0,2,10,9,0,1.0,30,7,0.0,1.2,1.3,Other,4,5.7,6.7
1945,Basma Bouteldja,13,Male,Layoune,11th,5.8,8.6,64,7,1.4,2,5,7,0,0.7,148,17,1.3,2.4,1.1,Social Media,2,7.4,10.0
1946,Kenza Slimani,15,Prefer not to say,Azeffoun,7th,3.3,6.5,79,10,0.1,5,4,6,0,1.4,31,7,2.6,2.7,0.3,Browsing,4,4.2,7.4
1947,Adila Ben Toumi,14,Female,Gueddara,12th,3.8,4.9,93,8,2.8,5,5,3,0,0.2,47,10,3.6,2.0,1.1,Other,1,6.9,9.9
1948,Riadh Meliani,15,Prefer not to say,Tindouf,7th,5.8,4.8,62,9,0.0,5,1,9,1,0.9,28,13,4.4,1.8,1.5,Other,1,11.1,10.0
1949,Sofiane Sahraoui,17,Prefer not to say,Mila,9th,7.4,4.6,86,6,0.0,8,3,9,1,1.6,90,20,2.3,1.3,0.0,Social Media,2,7.0,10.0
1950,Lakhdar Boutaleb,15,Female,El M'Ghair,10th,7.3,6.9,50,1,1.1,10,10,1,0,0.3,130,17,3.7,1.6,0.1,Education,9,8.3,10.0
1951,Alaa Eddine Lazem,16,Female,Larbaâ Nath Irathen,10th,2.1,7.8,66,7,0.0,5,4,3,0,0.3,48,14,0.7,2.4,1.6,Social Media,2,8.2,5.1
1952,Manel Ayachi,19,Prefer not to say,Hassi Bahbah,7th,5.8,5.9,63,4,0.2,3,2,7,0,1.2,115,18,1.8,2.3,0.4,Other,5,8.6,10.0
1953,Mourad Ferhat,15,Prefer not to say,Adrar,7th,3.5,6.5,82,2,2.4,1,2,3,0,0.3,53,17,1.3,2.1,0.6,Social Media,4,1.6,8.1
1954,Omar Zerrouki,14,Prefer not to say,Béni Abbès,11th,8.7,6.0,87,9,1.0,1,8,8,1,0.0,137,5,1.6,1.3,1.0,Browsing,6,6.0,10.0
1955,Linda Bouziane,17,Male,Ouled Djellal,11th,4.4,5.4,63,3,0.5,9,5,2,1,1.2,91,11,3.1,2.1,2.2,Education,9,7.9,10.0
1956,Jihane Ghazali,18,Male,Mekla,12th,4.6,7.6,61,9,2.3,8,10,4,0,1.6,62,9,3.0,2.3,1.7,Education,7,3.0,9.1
1957,Inas Merabet,15,Female,Casbah,10th,3.2,8.8,79,6,0.8,6,6,10,1,1.3,75,12,2.1,1.7,1.4,Other,9,5.7,6.5
1958,Nora Benziane,16,Female,Amizour,12th,3.9,6.3,59,2,0.7,5,2,2,1,1.2,120,18,5.0,4.0,2.5,Education,10,4.3,10.0
1959,Souhila Louanchi,18,Female,Illizi,11th,7.0,5.1,96,5,1.8,2,8,4,1,0.8,142,7,3.0,2.3,0.8,Other,10,4.7,10.0
1960,Basma Ahmed,16,Male,Ahl El Ksar,11th,6.1,7.2,56,2,1.2,4,9,4,0,1.3,99,14,4.2,1.6,0.5,Social Media,2,6.0,10.0
1961,Yassin Ouled Said,15,Prefer not to say,Hassi Bahbah,7th,4.2,5.6,99,5,0.5,5,5,6,0,0.9,98,11,1.9,1.6,0.6,Browsing,10,6.5,9.1
1962,Hamza Djilali,16,Prefer not to say,Bordj Bou Arréridj,11th,7.3,4.9,58,2,0.7,10,4,7,0,0.6,42,17,3.4,2.1,0.6,Gaming,1,4.7,10.0
1963,Lina Rahmouni,15,Prefer not to say,Témacine,9th,8.8,7.1,59,10,0.2,10,4,2,1,1.1,141,14,0.9,0.5,1.2,Browsing,8,5.5,10.0
1964,Ahmed Nadjib,18,Male,Issers,8th,5.9,4.1,63,1,1.4,8,7,8,0,0.9,119,17,1.5,3.1,1.4,Browsing,10,9.6,10.0
1965,Slimane Henni,18,Female,Djelfa,11th,2.6,7.3,65,2,1.7,10,8,8,1,1.2,53,11,2.8,1.7,0.2,Browsing,3,5.0,6.7
1966,Mahmoud Benguettaf,18,Prefer not to say,Semaoûn,10th,3.0,7.3,92,3,1.1,9,8,6,1,0.4,72,13,3.5,0.5,1.6,Education,5,5.0,7.4
1967,Racha Moualek,15,Prefer not to say,Hamma,11th,8.2,6.3,62,3,0.4,10,10,10,0,1.2,21,15,1.5,1.3,0.8,Gaming,10,4.9,10.0
1968,Faysal Cheikh,19,Male,Timimoun,11th,5.4,5.0,64,1,0.0,5,1,3,0,0.8,96,5,3.1,1.8,0.5,Other,1,5.8,10.0
1969,Ahlem Lounes,15,Prefer not to say,Aïn Soltane,8th,2.1,8.9,53,1,1.7,5,3,3,0,0.5,22,8,2.3,0.6,0.0,Other,6,3.5,2.6
1970,amina Bachiri,13,Female,Belouizdad,9th,3.8,5.5,96,3,0.4,10,1,9,1,1.3,102,15,3.1,1.5,1.2,Social Media,5,6.8,10.0
1971,Zine Eddine Ferhat,17,Male,Batna,8th,4.9,7.7,87,7,0.0,5,5,6,1,1.4,86,11,1.3,2.8,1.0,Browsing,7,7.4,9.1
1972,Mounir Lounes,19,Female,Aïn Bessem,11th,7.9,7.9,91,6,0.6,4,7,6,0,1.2,79,9,2.3,3.3,0.3,Gaming,2,9.4,10.0
1973,Amine Khammar,19,Prefer not to say,El Oued,7th,9.0,6.8,95,9,1.1,5,6,1,0,0.3,81,14,2.1,0.7,2.0,Gaming,2,4.2,10.0
1974,Abdallah Kamel,13,Prefer not to say,Ksar El Abtal,12th,3.2,5.1,62,9,1.5,3,7,3,1,1.1,130,12,3.7,1.7,2.0,Gaming,1,3.7,10.0
1975,Mehrez Brahimi,13,Male,Oum El Bouaghi,10th,3.8,5.2,75,5,0.9,1,2,7,0,0.0,123,18,4.5,0.4,1.6,Gaming,4,3.9,10.0
1976,Yasmina Ziani,19,Prefer not to say,Djelfa,12th,3.7,5.7,65,9,0.4,1,6,8,0,0.3,143,6,3.4,1.3,0.0,Social Media,10,7.3,9.6
1977,Majid Laid,14,Male,Yatafen,12th,10.3,9.8,86,8,0.0,3,7,2,0,0.9,68,9,2.9,0.7,0.7,Browsing,5,5.8,10.0
1978,Shaima Nadjib,17,Prefer not to say,Naama,8th,5.8,7.8,67,9,0.1,6,9,5,0,1.3,117,13,1.7,0.1,0.8,Social Media,3,8.3,8.6
1979,Yasine Ali,16,Female,Tissemsilt,11th,2.2,6.3,67,6,0.5,9,8,5,0,1.9,48,19,2.8,4.0,1.7,Social Media,2,2.8,10.0
1980,Nasreddine Khaldi,19,Female,El Attaf,7th,7.6,6.4,93,0,1.4,1,6,7,0,0.3,27,7,2.4,2.2,0.5,Social Media,5,8.5,10.0
1981,Amel Ibrahim,17,Male,Béni Abbès,12th,2.6,8.3,100,8,0.5,10,3,9,1,1.6,123,19,0.5,0.0,0.7,Gaming,7,6.7,5.2
1982,Lakhdar Ben Aoun,15,Prefer not to say,Jijel,7th,6.1,5.8,99,7,1.7,8,7,7,0,0.2,66,19,4.2,0.0,1.3,Gaming,7,8.9,10.0
1983,Kahina Mecheri,13,Male,Boumerdès,7th,7.5,5.2,68,6,0.8,7,6,7,0,0.0,84,11,2.1,2.7,0.1,Browsing,3,6.8,10.0
1984,Warda Zitouni,13,Female,Menzel,12th,5.6,5.6,71,3,1.3,10,2,9,0,0.7,76,19,1.7,0.3,1.2,Gaming,3,5.8,10.0
1985,Naima Toumi,13,Male,Agouni Gueghrane,8th,4.0,6.7,89,9,0.6,5,8,7,0,1.6,26,20,2.9,1.1,1.4,Gaming,5,6.0,9.2
1986,Ahmed Benmokhtar,13,Female,Iferhounène,12th,5.7,7.9,50,3,3.4,5,8,5,1,1.1,47,14,2.8,2.1,0.4,Browsing,5,7.7,10.0
1987,Youssef Remili,13,Prefer not to say,Laghouat,10th,4.9,5.8,74,3,0.3,10,4,2,1,0.1,63,15,0.0,1.1,1.4,Other,2,5.3,7.4
1988,Meriem Dekkiche,18,Prefer not to say,Menaa,11th,2.5,4.8,51,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,Gaming,5,4.5,5.0
1989,Sonia Ouled Said,18,Female,Mahelma,12th,6.1,5.3,94,3,1.5,1,7,9,1,1.2,100,13,3.6,0.8,0.5,Education,6,7.8,10.0
1990,Wissal Rouibah,18,Female,Salah Bouchaour,10th,3.3,8.2,96,9,0.6,6,5,6,1,0.8,40,7,3.4,2.1,0.8,Other,4,7.0,6.9
1991,Dounia Daoudi,18,Male,Bordj Baji Mokhtar,10th,4.7,6.4,88,0,1.0,6,8,6,0,1.3,99,13,2.8,1.3,1.6,Other,7,3.6,10.0
1992,Najia Djaballah,16,Prefer not to say,Birkhadem,9th,4.7,3.0,83,10,0.9,8,2,9,0,1.0,102,5,2.1,1.2,1.4,Social Media,10,6.8,9.5
1993,Mahmoud Baghdad,17,Female,Sidi Lakhdar,7th,3.4,6.8,87,2,1.1,9,1,4,1,0.5,80,11,2.2,1.2,1.7,Social Media,6,6.3,7.2
1994,Ayoub Bouziane,14,Female,Bordj Baji Mokhtar,10th,5.5,5.7,92,7,0.6,10,10,5,0,1.2,91,12,2.3,0.9,1.4,Browsing,1,3.9,10.0
1995,Yacine Mezouar,16,Prefer not to say,Blida,10th,2.8,7.5,55,3,1.1,1,5,1,1,0.7,119,20,3.9,0.9,0.5,Social Media,6,2.8,10.0
1996,Hassan Charef,17,Male,Biskra,10th,4.8,6.7,89,5,1.6,7,4,2,0,1.3,136,6,0.7,0.4,0.4,Gaming,3,4.3,6.5
1997,Riadh Salhi,15,Female,Souk Ahras,7th,8.9,3.5,91,3,1.5,8,4,6,0,1.2,77,6,1.2,1.4,1.1,Social Media,5,8.1,10.0
1998,Salma Ghazali,16,Prefer not to say,Médéa,12th,7.5,5.9,84,6,1.5,7,9,6,0,1.6,76,13,2.1,2.1,0.8,Browsing,8,11.5,10.0
1999,Samira Charef,17,Female,Djelfa,12th,4.9,5.4,89,5,0.2,5,9,9,1,0.6,67,9,3.9,0.9,1.4,Browsing,8,7.3,10.0
2000,Sid Ahmed Ouali,15,Prefer not to say,Bordj Bou Arréridj,11th,7.7,6.6,69,6,1.4,7,10,5,1,1.7,23,16,3.2,0.7,0.7,Browsing,7,8.3,10.0
2001,Samar Bahri,19,Female,Tébessa,12th,8.1,5.2,82,0,0.1,7,9,5,1,1.8,70,19,3.0,0.9,0.1,Education,8,5.3,10.0
